WARD_NO,WARD_NAME,latitude,longitude
638129,Vadugapatti (Erode),12.25,79.4167
638152,Unjalur,12.25,79.4167
638153,Ganapathipalayam,12.25,79.4167
638202,Jakkarpalayam,11.44,77.7967
638211,Devanurpudur,11.44,77.7967
638301,Bhavani H O,11.44,77.7967
638302,Bhavani Cutchery,11.44,77.7967
638312,Palayam,11.44,77.7967
638314,Olagadam,11.44,77.7967
638315,Sakthinagar,11.44,77.7967
638327,Dalavoipettai,11.44,77.7967
638403,Yavilipalayam,11.7833,77.0167
638404,Ukkaram,11.7833,77.0167
638451,Bhavanisagar,11.7833,77.0167
638452,Gobichettipalayam H O,11.7833,77.0167
638461,Talavadi,11.7833,77.0167
638466,Kadathur Gobi,11.7833,77.0167
638476,Gobiohetti Palayam South,11.7833,77.0167
638503,Dasappagoundanpudur,11.44,77.7967
638603,Gandhi Nagar Tirupur,11.44,77.7967
638656,Dharapuram H O,11.44,77.7967
638657,Ellisnagar,11.44,77.7967
638672,Dalvoipatnam,11.44,77.7967
638675,Jalakarisal,11.44,77.7967
638687,Iduvampalayam,11.44,77.7967
638703,Udiyur,11,77.4667
638710,Tayampalayam,10.8333,77.5
638751,Uttukuli,11.1667,77.4333
638752,Uttukuli R S,11.1667,77.4333
638806,Vadambacheri,11.44,77.7967
638812,Chengapalli,11.44,77.7967
639001,Ramakrishnapuram,12.1397,78.5489
639002,Vaiapurinagar,12.1397,78.5489
639105,Lalapet,12.1397,78.5489
639120,Vaigallur,12.1397,78.5489
639203,Isanatham,12.1397,78.5489
641001,Devangapet,10.9375,76.975
641002,R S PURAM SoUTH,10.9375,76.975
641003,Lalwley Road,10.9375,76.975
641006,Ganapathi,10.9375,76.975
641007,Institute,10.9375,76.975
641011,Saibaba Mission East,10.9375,76.975
641012,Tatabad,10.9375,76.975
641015,Uppilpalayam,10.9375,76.975
641016,Ondipudur,10.9375,76.975
641018,Ramanathapuram Cbt,10.9375,76.975
641029,Gnanambika Mills,10.9375,76.975
641032,Othakalmandapam,10.9375,76.975
641034,Tadiyalur,10.9375,76.975
641045,Ramanthapuram Cbe,10.9375,76.975
641047,Jothipuram,10.9375,76.975
641101,Alandurai,10.9333,76.8
641103,Irugur,11.0167,77.0667
641105,Madukkarai Casba,10.9,76.9667
641108,Tadagam,10.95,76.9444
641110,Vaiyampalayam,10.95,76.9444
641201,Chettipalayam,10.9,77.0667
641202,Ganapathi Agraharam,10.9,77.0667
641304,Akkaraisengapalli,10.9375,76.975
642001,N G M College,10.5833,77.25
642002,T Kottampatti,10.5833,77.25
642004,Uttukuli Zamin,10.5833,77.25
642005,Zamin Mathur,10.5833,77.25
642051,Jallipatti,10.5833,77.25
642105,Waterfalls Estate,10.5833,77.25
642107,Gomangalam,10.5833,77.25
642108,Iyerpadi,10.5833,77.25
642113,Madathukulam,10.5833,77.25
642126,Gandhi Nagar,13.0064,80.2542
642135,Kadamparai Dam,10.5833,77.25
642136,Ramanamudalipudur,10.5833,77.25
642152,Kadamparai Power House,10.5833,77.25
642154,Udamalpet,10.5833,77.25
643001,Race Course,11.4611,76.55
643003,Lovedale,11.4611,76.55
643004,Fern Hill,11.4611,76.55
643005,Indu Nagar,11.4611,76.55
643006,Fingerpost,11.4611,76.55
643105,Ottupattarai,11.4611,76.55
643205,Cherambadi,11.5333,76.2833
643206,Denadcombai,11.5333,76.2833
643207,Devarshola,11.5333,76.2833
643209,Emarald,11.5333,76.2833
643210,Glenmorgan,11.4611,76.55
643224,Naduvattam,11.4833,76.5667
643231,Defence Service Staff College,11.3667,76.8
643232,Wellington Bazar,11.3667,76.8
643234,Hulical,11.3667,76.8
643241,Uppatti,11.4611,76.55
643244,Jagathala,11.4611,76.55
643256,Ithalur,11.4611,76.55
643282,Yedakkad,11.4611,76.55
