WARD_NO,WARD_NAME,latitude,longitude
608701,Palayamkottai S A,11.4667,79.6333
609001,Lalbahadur Nagar,10.9167,79.8167
609101,Achalpuram,10.9167,79.8167
609104,Kadavasal,10.9167,79.8167
609117,Vaitheeswaran Koil,10.9167,79.8167
609120,Pagasalai,10.9167,79.8167
609121,Madanam,10.9167,79.8167
609127,Madervelur,10.9167,79.8167
609129,Alakudi (Mayuram),10.9167,79.8167
609131,Edamanal,10.9167,79.8167
609201,Ilanthope,10.9167,79.8167
609301,Akkur (Thanjavur),10.9167,79.8167
609306,Nalladai,10.9167,79.8167
609314,Vadakarai,10.9167,79.8167
609401,Elanthangudi,10.9167,79.8167
609501,Eravancheri,10.9167,79.8167
609601,Ambagarathur,10.9167,79.8167
609602,Karaikal,10.9167,79.8333
609605,Thalatheru,10.9167,79.8167
609606,Tirumalarayanpattanam,10.9167,79.8167
609607,Tirunallar,10.9167,79.8
609609,Kottucherry,10.9167,79.8167
609701,Enanguddi,10.9167,79.8167
609811,Kali,10.9167,79.8167
610002,Dakshinamurthy Mutt,10.7042,79.5208
610201,Kachanam,10.7042,79.5208
610206,Vadapathimangalam,10.7042,79.5208
611001,Nagapattinam City,10.7667,79.8333
611002,Vadagudi Chatram,10.7667,79.8333
611101,Adaikkamangalam,10.7667,79.8333
611111,Vailankanni West,10.7667,79.8333
612001,Banadurai,11.2167,79.45
612101,Aduthurai,11.2167,79.45
612106,Kadiramangalam,11.2167,79.45
612201,Vadamattam,11.2167,79.45
612203,Palaiyur,11.2167,79.45
612401,Sakkottai,11.2167,79.45
612502,Lower Anaicut,11.2167,79.45
612602,Nachiarkoil,11.2167,79.45
612702,Darasuram,11.2167,79.45
612802,Haridwaramangalam,11.2167,79.45
612805,Chandrasekarapuram,11.2167,79.45
612901,Gangaikondapuram,11.2167,79.45
612905,Ulkottai,11.2167,79.45
613001,Irudhayapuram,10.7042,79.5208
613005,Raja Serfoji Govt College,10.7042,79.5208
613007,Rajappanagar,10.7042,79.5208
613054,Inayuthukkanpatti,10.7042,79.5208
613101,Nadukaveri,10.7042,79.5208
613301,Gandharvakottai,10.7042,79.5208
613401,M G M Sanatorium,10.7042,79.5208
613504,Salimangalam,10.7042,79.5208
613601,Alakudi (Thanjavur),10.7042,79.5208
614012,Handranadi,10.4167,79.4
614013,Idangankottai Melaiyur,10.4167,79.4
614019,Vadavur,10.4167,79.4
614020,Painganadu,10.4167,79.4
614102,Lakshmangudi,10.4167,79.4
614203,Kabisthalam,10.4167,79.4
614207,Rajaghiri,10.4167,79.4
614209,Umayalpuram,10.4167,79.4
614211,Chakrapalli,10.4167,79.4
614212,Ullikadai,10.4167,79.4
614303,Vadakku Mangudi,10.4167,79.4
614602,Nadimuthunagar,10.4167,79.4
614613,Tamarankottai,10.4167,79.4
614615,Aladikumulai,10.4167,79.4
614625,Orathanad,10.4167,79.4
614631,Uranipuram,10.4167,79.4
614632,Okkanad Kilaiyur,10.4167,79.4
614635,Jagadapattinam,10.4167,79.4
614701,Adirampattinam,10.35,79.4
614702,Idaiyur,10.35,79.4
614706,Udayamarthandapuram,10.35,79.4
614710,Naduvakalappal,10.35,79.4
614712,Talanagar Agraharam,10.35,79.4
614714,Takattur,10.35,79.4
614717,Adichapuram,10.35,79.4
614725,Kadinavayal,10.35,79.4
614730,T Nelakadu,10.35,79.4
614738,Jambavanodai,10.35,79.4
614803,Ottangadu,10.4167,79.4
614815,Chettipulam,10.4167,79.4
614903,Madukkur,10.4833,79.4
614905,Vadasseri,10.4833,79.4
614908,T Kilaiyur,10.4833,79.4
620001,Bheema Nagar,10.8,78.7333
620003,Woriyur Bazar,10.8,78.7333
620004,Golden Rock,10.8,78.7333
620010,Industrial Colony Trichy,10.8,78.7333
620012,Edamalaipattipudur,10.8,78.7333
620014,Bhel,10.8,78.7333
620016,Oradance Estate,10.8,78.7333
620020,Jamal Mohamed College,10.8,78.7333
620021,K K Nagar Metre Factory R,10.8,78.7333
